ISO3200,5.6,8,11,16,22,32,45,64,90,128,,,,,
ISO1600,4,5.6,8,11,16,22,32,45,64,90,128,,,,
ISO800,2.8,4,5.6,8,11,16,22,32,45,64,90,128,,,
ISO400,2,2.8,4,5.6,8,11,16,22,32,45,64,90,128,,
ISO200,1.4,2,2.8,4,5.6,8,11,16,22,32,45,64,90,128,
ISO100,1,1.4,2,2.8,4,5.6,8,11,16,22,32,45,64,90,128
60s,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8
30s,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9
15s,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
8s,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11
4s,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12
2s,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1s,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1/2s,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1/4s,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1/8s,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1/15s,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1/30s,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1/60s,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1/125s,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1/250s,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1/500s,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1/1000s,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1/2000s,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1/4000s,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1/8000s,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
